review_id,created_at,resource_id,resource_name,city,zip_code,rating,sentiment,attended,did_not_attend_reason,wait_time_minutes,information_accurate,text,photo_url,photo_public,share_text_with_resource,status,reviewed_by_name,moderation_date,inaccurate_note,client_flag_created,resource_flag_created,shared_social,follow_up_sent,raffle_tickets,referred_by,referred_role,is_synthetic,attended_binary,information_accurate_binary,rating_category,text_length,has_text,has_photo,was_moderated,any_flag_raised,outcome_label
a42fde74-7e2d-445a-aaa5-701d5bbdbfcf,2026-01-04T00:00:00Z,1388,Elmcor Youth and Adult Services Inc.,Corona,11368,4,positive,True,,35,True,Great selection this week. A bit crowded but worth it. The staff were warm and efficient.,,,True,Completed,David Lee,2026-01-05,,False,False,True,False,4,Social Worker,,True,1,1,high,89,1,0,1,0,positive_experience
366712c4-36e1-48e6-8e13-3a242da34021,2026-01-12T00:00:00Z,285,Evangelical Church Cristo Es La Luz,New York,11373,2,negative,False,Arrived too late/Missed cutoff time,,False,The cutoff time is not clearly listed. I arrived 45 minutes before the listed closing time but was still turned away.,,,True,Flagged,David Lee,2026-01-13,Listing information flagged as inaccurate by client — requires verification,True,True,False,True,2,Neighbor,Healthcare,True,0,0,low,117,1,0,1,1,did_not_receive_help
a0bb3e6f-9c5a-465d-a156-b8ce4482f4c8,2026-01-04T00:00:00Z,581,BREAD OF LIFE FOOD PANTRY,Bronx,10472,2,negative,False,Did not meet eligibility requirements,,False,Was not aware of the residency requirement until I arrived. Would be helpful to list eligibility criteria clearly on the platform.,,,True,Flagged,Jessica Martinez,2026-01-05,Listing information flagged as inaccurate by client — requires verification,True,True,False,False,2,Community board,,True,0,0,low,130,1,0,1,1,did_not_receive_help
a7e1c841-4caa-4afa-9faa-a28479b75686,2026-01-21T00:00:00Z,ckxexc1jc0004041334pontvq,NYC SNAP Self-Application,New York,,5,positive,True,,10,True,Amazing variety of fresh produce and proteins. The volunteers treated everyone with dignity and respect. Will definitely return.,,,False,Completed,David Lee,2026-01-22,,False,False,False,False,5,Neighbor,,True,1,1,high,128,1,0,1,0,positive_experience
ed37d0b2-40c3-40e4-93a2-746b15cd8aa4,2026-01-12T00:00:00Z,cl22bhgrx1146933lyclc0kfvl2,Community FoodBank of New Jersey,Hillside,07205,4,positive,True,,35,True,Great selection this week. A bit crowded but worth it. The staff were warm and efficient.,,,True,Pending,,,,False,False,False,False,4,Hospital referral,Social Worker,True,1,1,high,89,1,0,0,0,positive_experience
0dff6575-42bd-4986-84f4-6c7a64d5123e,2026-02-28T00:00:00Z,536,Grand Central Food Program,Belmont,10458,5,positive,True,,15,True,"First time visiting and I was blown away by how organized everything was. Got fresh vegetables, fruit, bread, and even some meat. The bilingual staff made my grandmother feel welcome.",,,True,Completed,Jessica Martinez,2026-03-01,,False,False,False,False,5,Community board,,True,1,1,high,183,1,0,1,0,positive_experience
ef67a959-3879-42fe-91ad-1a91ba797f0f,2026-02-16T00:00:00Z,1388,Elmcor Youth and Adult Services Inc.,Corona,11368,2,negative,False,Did not meet eligibility requirements,,False,Was not aware of the residency requirement until I arrived. Would be helpful to list eligibility criteria clearly on the platform.,,,True,Flagged,Jessica Martinez,2026-02-17,Listing information flagged as inaccurate by client — requires verification,True,True,False,True,2,Community board,Volunteer,True,0,0,low,130,1,0,1,1,did_not_receive_help
88c3e135-37fe-42ff-ae03-a6401244f9d2,2026-01-13T00:00:00Z,ckxexc1jc0004041334pontvq,NYC SNAP Self-Application,New York,,3,neutral,True,,60,True,Decent selection but ran low on produce by the time I arrived. Staff were polite. Line moved slowly — about an hour wait.,,,False,Pending,,,,False,False,False,False,3,Direct Visit,,True,1,1,mid,121,1,0,0,0,neutral_experience
849ec409-0aa4-4c42-b128-ae249418e3d4,2026-01-21T00:00:00Z,ckxexc1jc0004041334pontvq,NYC SNAP Self-Application,New York,,2,negative,True,,90,False,Long wait and very limited selection when I got to the front. Staff seemed stressed. The address listed online was slightly wrong which added 20 minutes to my commute.,,,False,Pending,,,,False,False,False,False,2,Community board,,True,1,0,low,167,1,0,0,0,negative_experience
9b0086c2-47fb-4cfe-9c3a-69b4de1dc49a,2026-01-22T00:00:00Z,ckxexc1jn01080413rbrmcrhh,Met Council - SNAP Assistance,New York,10004,5,positive,True,,20,True,Best food pantry in the area. Always fully stocked and the volunteers remember your name. They even helped carry my bags to the bus stop.,,,False,Completed,Jessica Martinez,2026-01-23,,False,False,True,False,5,Community board,,True,1,1,high,137,1,0,1,0,positive_experience
